Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2,Genebiotype,Genesymbol
ENSG00000121053,9,11,8,16,2,0,0,2,protein_coding,EPX
ENSG00000121057,4932,5687,5075,6961,372,116,182,515,protein_coding,AKAP1
ENSG00000121058,1747,2104,2095,1974,1011,350,389,1143,protein_coding,COIL
ENSG00000121060,3082,3926,4462,5178,4469,1433,1251,3503,protein_coding,TRIM25
ENSG00000121064,1306,1609,1213,1356,1023,334,357,883,protein_coding,SCPEP1
ENSG00000121067,2721,3320,3066,3844,2633,837,847,2208,protein_coding,SPOP
ENSG00000121068,4,2,4,7,144,53,52,138,protein_coding,TBX2
ENSG00000121073,911,1138,776,1013,729,311,370,972,protein_coding,SLC35B1
ENSG00000121075,8,18,7,6,1,0,0,3,protein_coding,TBX4
ENSG00000121101,28,47,34,31,6,2,9,14,protein_coding,TEX14
ENSG00000121104,765,788,693,1113,367,120,157,465,protein_coding,FAM117A
ENSG00000121152,1930,2214,1873,1870,2512,820,913,2521,protein_coding,NCAPH
ENSG00000121207,148,175,0,4,14,3,7,14,protein_coding,LRAT
ENSG00000121210,795,981,852,992,124,49,71,196,protein_coding,TMEM131L
ENSG00000121211,1,1,3,4,7,1,4,5,protein_coding,MND1
ENSG00000121236,4,4,7,4,108,41,57,120,protein_coding,TRIM6
ENSG00000121270,16,30,36,53,5,2,0,4,protein_coding,ABCC11
ENSG00000121274,2387,2705,2302,2539,860,239,301,886,protein_coding,TENT4B
ENSG00000121281,65,72,178,174,230,94,79,198,protein_coding,ADCY7
ENSG00000121289,1615,1730,1844,2329,155,68,77,203,protein_coding,CEP89
ENSG00000121297,85,84,94,98,373,125,114,325,protein_coding,TSHZ3
ENSG00000121310,4074,4744,4065,4908,350,160,207,554,protein_coding,ECHDC2
ENSG00000121314,0,0,0,0,0,0,0,0,protein_coding,TAS2R8
ENSG00000121316,0,1,0,0,37,9,26,81,protein_coding,PLBD1
ENSG00000121318,1,3,0,1,4,0,0,4,protein_coding,TAS2R10
ENSG00000121335,0,0,0,0,1,0,0,0,protein_coding,PRB2
ENSG00000121350,266,362,459,514,169,64,63,192,protein_coding,PYROXD1
ENSG00000121351,0,0,0,2,0,0,0,0,protein_coding,IAPP
ENSG00000121361,0,0,0,0,61,12,50,106,protein_coding,KCNJ8
ENSG00000121377,0,0,0,0,0,0,0,0,protein_coding,TAS2R7
ENSG00000121380,7,7,19,11,0,1,1,4,protein_coding,BCL2L14
ENSG00000121381,0,0,0,2,0,0,0,0,protein_coding,TAS2R9
ENSG00000121390,4676,5524,3762,4158,240,67,98,277,protein_coding,PSPC1
ENSG00000121406,413,525,507,554,151,63,69,211,protein_coding,ZNF549
ENSG00000121410,11,24,12,8,0,0,0,3,protein_coding,A1BG
ENSG00000121413,566,613,634,848,4,2,1,2,protein_coding,ZSCAN18
ENSG00000121417,1089,1243,675,723,459,153,198,497,protein_coding,ZNF211
ENSG00000121440,663,806,515,736,13,3,10,21,protein_coding,PDZRN3
ENSG00000121446,0,1,7,6,0,0,0,0,protein_coding,RGSL1
ENSG00000121454,186,194,175,184,50,10,21,50,protein_coding,LHX4
ENSG00000121481,1141,1384,1225,1233,955,292,274,702,protein_coding,RNF2
ENSG00000121486,2295,2695,2597,2854,399,123,141,381,protein_coding,TRMT1L
ENSG00000121542,273,368,449,525,481,186,182,504,protein_coding,SEC22A
ENSG00000121552,34,43,44,46,3,0,2,3,protein_coding,CSTA
ENSG00000121570,0,0,1,0,0,0,0,0,protein_coding,DPPA4
ENSG00000121577,21,18,24,37,23,4,11,23,protein_coding,POPDC2
ENSG00000121578,1632,1776,1274,1511,1174,396,401,1135,protein_coding,B4GALT4
ENSG00000121579,12050,13370,11369,13527,1132,286,431,1423,protein_coding,NAA50
ENSG00000121594,5,3,4,2,2,3,2,6,protein_coding,CD80
ENSG00000121621,479,567,522,491,259,79,120,275,protein_coding,KIF18A
ENSG00000121634,0,2,0,0,0,0,0,0,protein_coding,GJA8
ENSG00000121644,1888,2126,1427,1588,3607,1091,832,2253,protein_coding,DESI2
ENSG00000121653,864,997,703,1369,247,90,115,246,protein_coding,MAPK8IP1
ENSG00000121671,746,875,423,708,259,84,136,325,protein_coding,CRY2
ENSG00000121680,250,299,237,432,68,24,39,93,protein_coding,PEX16
ENSG00000121690,1,0,0,0,0,0,0,0,protein_coding,DEPDC7
ENSG00000121691,2406,2742,5011,6648,2152,707,703,1809,protein_coding,CAT
ENSG00000121716,72,84,66,84,107,29,64,136,protein_coding,PILRB
ENSG00000121741,9189,10678,7304,7260,6034,1941,1377,3928,protein_coding,ZMYM2
ENSG00000121742,0,0,0,0,1,0,0,2,protein_coding,GJB6
ENSG00000121743,6,9,5,17,6,4,7,16,protein_coding,GJA3
ENSG00000121749,3735,4271,3893,4138,1328,381,375,1182,protein_coding,TBC1D15
ENSG00000121753,170,166,82,145,288,97,173,401,protein_coding,ADGRB2
ENSG00000121764,3,2,0,2,3,0,0,4,protein_coding,HCRTR1
ENSG00000121766,2749,2961,3128,3628,1314,410,523,1397,protein_coding,ZCCHC17
ENSG00000121769,66,45,87,84,48,16,14,34,protein_coding,FABP3
ENSG00000121774,7717,9362,9653,10173,2173,806,450,1406,protein_coding,KHDRBS1
ENSG00000121775,290,312,276,433,203,84,82,189,protein_coding,TMEM39B
ENSG00000121797,0,1,2,4,345,118,101,328,protein_coding,CCRL2
ENSG00000121807,4,10,1,5,0,0,0,0,protein_coding,CCR2
ENSG00000121851,308,310,440,635,26,17,18,61,protein_coding,POLR3GL
ENSG00000121853,0,0,0,0,0,0,0,0,protein_coding,GHSR
ENSG00000121858,893,924,265,227,29,10,6,13,protein_coding,TNFSF10
ENSG00000121864,2230,2630,2299,2391,1487,458,476,1383,protein_coding,ZNF639
ENSG00000121871,441,577,339,420,8,6,2,13,protein_coding,SLITRK3
ENSG00000121879,562,640,525,556,1980,597,641,1722,protein_coding,PIK3CA
